session,no party,unknown speaker,הליכוד,העבודה,הציונות הדתית,הרשימה המשותפת,הרשימה הערבית המאוחדת,יהדות התורה,ימינה,יש עתיד,ישראל ביתנו,כחול לבן,מרצ,"ש""ס",תקווה חדשה
127,1,0,94,21,2,11,0,6,1,50,14,17,19,17,7
128,18,84,375,67,95,67,0,67,6,250,277,107,124,85,166
129,8,100,632,26,120,62,111,66,103,62,170,48,14,221,215
130,1,1,1,0,2,2,0,0,0,37,1,15,3,8,0
131,0,10,90,6,23,60,3,37,15,59,231,15,25,4,52
132,11,60,718,17,95,106,0,70,0,235,285,81,144,188,120
133,1,0,2,0,1,0,0,1,0,29,0,4,5,7,1
134,42,73,437,41,64,99,63,79,37,94,76,117,143,113,248
135,14,8,232,10,63,65,6,44,35,192,131,86,2,106,35
136,1,2,63,0,1,18,0,0,3,86,43,23,22,49,7
137,65,153,643,123,126,298,108,75,47,442,15,68,31,120,98
138,20,123,441,7,58,87,2,162,12,46,113,300,124,145,279
139,2,2,55,0,2,18,0,14,4,3,0,12,7,7,0
